City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Horni Plana,CZ,48.7674,14.0326,55.96,74,0,2.39,clear sky
315,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,5.75,clear sky
316,Seminole,US,28.7086,-81.2081,81.27,91,95,5.91,overcast clouds
317,Yamada,JP,39.4667,141.95,83.86,57,24,2.55,few clouds
318,Santa Marinella,IT,42.0345,11.8536,73.31,62,69,6.29,broken clouds
319,Nishihara,JP,26.1842,127.7558,78.08,95,100,16.11,overcast clouds
320,Bintulu,MY,3.1667,113.0333,77.41,100,20,1.14,few clouds
321,Portland,US,45.5234,-122.6762,76.44,58,85,7.43,overcast clouds
322,Waqqas,JO,32.5427,35.6053,76.96,82,0,3.53,clear sky
323,Lebu,CL,-37.6167,-73.65,47.97,79,36,5.86,scattered clouds
324,Ambam,CM,2.3833,11.2833,68.36,99,73,2.71,broken clouds
325,Bull Savanna,JM,17.8868,-77.5902,78.24,83,95,7.63,overcast clouds
326,Singaraja,ID,-8.112,115.0882,80.91,80,64,1.36,broken clouds
327,Broken Hill,AU,-31.95,141.4333,42.75,72,0,17.96,clear sky
328,Filingue,NE,14.3521,3.3168,90.52,43,19,8.63,few clouds
329,Port Blair,IN,11.6667,92.75,82.87,80,100,18.45,overcast clouds
330,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,83,75,3.44,broken clouds
331,Salihorsk,BY,52.7876,27.5415,64.36,74,65,6.44,broken clouds
332,Pathein,MM,16.7833,94.7333,77.85,91,99,8.95,overcast clouds
333,Nea Apollonia,GR,40.6333,23.45,81.52,64,17,3.4,few clouds
334,Vestmannaeyjar,IS,63.4427,-20.2734,50.13,86,3,23.64,clear sky
335,Turkistan,KZ,43.0,68.0,75.94,19,1,6.58,clear sky
336,Nehe,CN,48.4833,124.8333,78.13,67,11,5.37,few clouds
337,Teknaf,BD,20.8624,92.3058,79.23,89,99,8.77,overcast clouds
338,Seymchan,RU,62.8833,152.4333,58.08,52,100,12.21,overcast clouds
339,Katima Mulilo,NA,-17.5,24.2667,59.04,61,78,3.91,broken clouds
340,Teya,RU,60.3778,92.6267,53.92,90,55,5.21,broken clouds
341,Tuatapere,NZ,-46.1333,167.6833,50.61,80,67,5.75,broken clouds
342,Susanville,US,40.4163,-120.653,80.91,16,0,16.11,clear sky
343,Guanica,PR,17.9716,-66.908,80.04,90,100,21.03,light rain
344,Veraval,IN,20.9,70.3667,82.29,83,100,17.83,overcast clouds
